Gesamtgewicht_Kg,Volumen_cbm,Warenwert_in_EUR,Gefahrgut,Startort,Destination,Termin_Destination,Entfernung_in_Km,LCL_LKW,FCL_LKW,Flugzeug,Seeeschiff
7706.5,6.012,79880,0,3,6,1,2200,0,0,1,0
12170.5,6.597,124615,0,2,10,0,11000,0,0,0,1
12168,7.016,124520,1,1,9,0,650,0,1,0,0
13634,7.181,139900,1,4,10,0,12000,0,0,0,1
6114,4.457,64515,0,4,7,1,1300,0,0,1,0
12167,6.637,125320,1,5,9,0,450,0,1,0,0
4652.5,5.126,50725,0,3,8,0,1100,1,0,0,0
9247.5,7.935,98075,1,2,6,0,2700,0,0,0,1
9186.5,6.151,95850,0,3,9,0,550,0,1,0,0
12170.5,6.702,124490,1,5,10,0,11400,0,0,0,1
4708,5.197,50500,1,3,7,0,1100,0,1,0,0
3193.5,5.011,36375,0,1,9,1,650,1,0,0,0
10664,6.658,109080,0,5,10,0,11400,0,0,0,1
9204.5,6.681,96735,1,5,8,0,650,0,1,0,0
15149.5,7.8,155695,1,3,9,1,550,0,1,0,0
3228,4.748,36345,1,1,6,1,2000,0,0,1,0
7643.5,5.971,80415,0,1,9,1,650,0,1,0,0
1692.5,4.437,20730,0,4,10,0,12000,0,0,0,1
4692.5,5.028,50530,0,4,8,0,800,1,0,0,0
1587,2.608,18915,0,5,7,1,1650,0,0,1,0
13549,5.81,136795,0,1,8,0,850,0,1,0,0
10690,7.442,110820,1,1,8,1,850,0,1,0,0
15224.5,8.723,156940,1,3,6,1,2200,0,0,1,0
1674,3.234,18835,0,2,9,0,400,1,0,0,0
7726,7.286,81860,1,3,7,0,1100,0,1,0,0
135.5,3.061,5410,0,4,7,1,1300,0,0,1,0
192.5,3.781,5935,1,4,7,1,1300,0,0,1,0
9102.5,4.488,92920,1,2,8,0,900,0,1,0,0
9213,6.07,95180,0,1,10,1,11350,0,0,1,0
4648,4.443,50475,0,2,9,0,400,1,0,0,0
10655.5,5.837,109000,0,5,7,0,1650,0,0,0,1
6156.5,4.727,65280,1,1,7,1,1650,0,0,1,0
1655.5,4.322,19810,0,4,10,0,12000,0,0,0,1
1660,4.524,21370,1,5,9,1,450,0,1,0,0
10681.5,6.735,110450,1,2,6,0,2700,0,0,0,1
3255.5,5.038,37665,1,2,6,0,2700,0,0,0,1
10604,5.779,108725,0,2,6,1,2700,0,0,1,0
4710.5,5.887,51330,0,2,10,0,11000,0,0,0,1
4625.5,4.974,49900,1,5,7,0,1650,0,0,0,1
9096.5,4.545,93700,1,4,8,1,800,0,1,0,0
4576.5,3.146,48445,0,4,8,0,800,1,0,0,0
12260.5,8.175,127435,1,3,6,0,2200,0,0,0,1
15238.5,9.142,156605,0,4,8,0,800,0,1,0,0
4644,4.4,48740,1,2,9,1,400,0,1,0,0
6174,5.434,65535,1,3,9,1,550,0,1,0,0
4639,4.504,49365,0,4,7,0,1300,0,0,0,1
13645.5,7.431,140270,1,3,9,0,550,0,1,0,0
195.5,3.599,5205,0,5,6,1,2200,0,0,1,0
15190,7.972,155610,1,2,6,0,2700,0,0,0,1
9191,6.962,96600,0,1,6,0,2000,0,0,0,1
3207.5,4.491,35920,0,5,6,1,2200,0,0,1,0
10767,8.05,112680,1,3,6,1,2200,0,0,1,0
9117.5,4.981,93280,1,5,10,0,11400,0,0,0,1
9203.5,6.468,96735,1,3,10,1,12000,0,0,1,0
12254,8.787,127410,1,2,9,0,400,0,1,0,0
7664,6.039,79280,0,1,9,1,650,0,1,0,0
12101.5,6.732,123860,0,2,8,1,900,0,1,0,0
13617,6.922,138830,0,5,8,0,650,0,1,0,0
4635.5,4.119,49025,1,5,6,0,2200,0,0,0,1
13591,6.786,138140,0,4,9,0,260,0,1,0,0
4647.5,4.717,50270,1,5,7,0,1650,0,0,0,1
9212,6.971,97320,1,4,6,1,2500,0,0,1,0
12137,6.796,126080,0,4,10,1,12000,0,0,1,0
13625.5,7.31,138150,0,3,7,1,1100,0,1,0,0
3162,3.808,35500,0,5,6,1,2200,0,0,1,0
1671.5,3.825,19855,0,2,8,0,900,1,0,0,0
12164.5,6.782,125585,1,4,6,0,2500,0,0,0,1
15162,7.597,155075,1,4,8,0,800,0,1,0,0
4729,5.474,51350,0,5,6,1,2200,0,0,1,0
4697,5.745,51255,1,4,6,0,2500,0,0,0,1
15162,8.077,155430,0,5,9,0,450,0,1,0,0
10660,7.242,110945,1,5,10,0,11400,0,0,0,1
131,2.497,4050,0,4,6,0,2500,0,0,0,1
1635,3.463,19135,1,2,7,1,1200,0,1,0,0
13610.5,7.645,139390,0,5,7,0,1650,0,0,0,1
10621,6.431,108460,0,2,6,1,2700,0,0,1,0
7623,5.116,79570,1,1,8,1,850,0,1,0,0
3175,4.079,34910,0,1,8,0,850,1,0,0,0
9124,5.224,94695,1,1,6,1,2000,0,0,1,0
1630.5,3.764,18615,0,2,10,1,11000,0,0,1,0
1656.5,4.295,21145,0,2,7,1,1200,1,0,0,0
6145.5,4.998,65185,1,2,9,1,400,0,1,0,0
6192.5,4.964,65230,1,1,8,0,850,0,1,0,0
1663,4.01,21335,1,1,10,1,11350,0,0,1,0
1610,2.828,18450,0,3,10,0,12000,0,0,0,1
4637.5,4.302,49925,0,4,10,1,12000,0,0,1,0
13638,7.34,139095,1,5,6,0,2200,0,0,0,1
1726.5,4.244,20800,1,2,8,1,900,0,1,0,0
1733.5,4.694,21355,1,5,6,0,2200,0,0,0,1
12166.5,6.168,124125,1,5,7,1,1650,0,0,1,0
12180,6.34,124580,0,3,7,1,1100,0,1,0,0
9107.5,5.282,94250,0,3,9,1,550,0,1,0,0
3132.5,3.395,35350,1,2,7,1,1200,0,1,0,0
15192.5,8.636,155370,1,2,8,0,900,0,1,0,0
128,2.26,4225,0,5,10,0,11400,0,0,0,1
10624.5,6.57,109210,0,5,7,1,1650,0,0,1,0
12148.5,7.09,125970,1,4,7,1,1300,0,0,1,0
6080,3.673,62640,0,5,7,0,1650,0,0,0,1
9112,4.829,93560,1,5,10,0,11400,0,0,0,1
15163.5,7.901,154720,1,1,6,1,2000,0,0,1,0
9167,6.069,96850,1,5,8,0,650,0,1,0,0
7652,5.897,80570,1,2,9,0,400,0,1,0,0
12149.5,6.499,124715,0,4,9,0,260,0,1,0,0
128,2.706,5415,1,1,8,0,850,0,1,0,0
10790,8.739,113745,1,2,9,1,400,0,1,0,0
12094.5,5.752,123415,1,3,7,0,1100,0,1,0,0
1663,4.457,19590,0,3,9,1,550,1,0,0,0
10613,5.792,109130,0,4,8,1,800,0,1,0,0
4683,5.062,49785,0,4,7,0,1300,0,0,0,1
1738,5.782,22815,1,1,6,1,2000,0,0,1,0
9171.5,6.316,95295,1,4,8,1,800,0,1,0,0
7625.5,4.958,78380,0,5,8,1,650,0,1,0,0
9132.5,5.846,94315,0,1,10,0,11350,0,0,0,1
156.5,2.817,5615,1,5,10,1,11400,0,0,1,0
3141.5,3.504,34265,0,1,8,0,850,1,0,0,0
1684,4.014,20390,1,5,6,0,2200,0,0,0,1
4645.5,4.261,49055,0,5,6,1,2200,0,0,1,0
1698.5,4.204,20415,1,1,7,1,1650,0,0,1,0
13664.5,7.249,139945,1,5,9,1,450,0,1,0,0
6188,5.734,66450,1,5,9,1,450,0,1,0,0
12166.5,7.695,125130,0,3,7,0,1100,0,1,0,0
7654,5.347,78775,0,3,9,0,550,0,1,0,0
13691,8.686,141150,1,1,8,1,850,0,1,0,0
13605,6.769,138190,0,1,6,0,2000,0,0,0,1
12171,6.959,125330,0,4,10,1,12000,0,0,1,0
4620,4.542,49540,0,2,9,1,400,1,0,0,0
6125.5,4.781,64680,0,5,10,0,11400,0,0,0,1
3204.5,4.586,34955,0,4,10,0,12000,0,0,0,1
3182,4.18,35350,1,4,8,1,800,0,1,0,0
6164.5,5.4,64680,0,2,9,1,400,1,0,0,0
9197,5.8,94725,0,3,8,1,1100,0,1,0,0
12135,6.232,123710,0,1,9,0,650,0,1,0,0
12210,6.928,125530,1,5,7,0,1650,0,0,0,1
13669.5,7.463,138990,0,3,10,1,12000,0,0,1,0
12204.5,7.742,126500,1,2,8,1,900,0,1,0,0
9230,7.229,96975,1,1,9,1,650,0,1,0,0
1608.5,3.216,19460,1,2,7,1,1200,0,1,0,0
9110,4.775,94205,0,1,10,1,11350,0,0,1,0
1682.5,3.899,20075,1,3,10,0,12000,0,0,0,1
6149.5,4.731,65390,0,3,8,0,1100,1,0,0,0
7683,6.715,81130,0,1,6,1,2000,0,0,1,0
10608.5,6.174,109040,0,2,10,1,11000,0,0,1,0
7652.5,6.309,81495,0,1,9,1,650,0,1,0,0
9204.5,6.137,95520,1,3,10,1,12000,0,0,1,0
13682,8.081,140175,1,5,7,0,1650,0,0,0,1
6139.5,4.812,65755,1,4,9,0,260,0,1,0,0
3133,3.348,33710,1,3,8,0,1100,0,1,0,0
6110,4.075,64055,1,5,9,1,450,0,1,0,0
15153.5,7.655,153790,0,3,10,0,12000,0,0,0,1
7643,6.272,80100,1,3,9,0,550,0,1,0,0
13668,7.435,139610,0,4,9,1,260,0,1,0,0
7610,5.154,78685,0,1,8,1,850,1,0,0,0
13671,7.584,139305,0,4,9,1,260,0,1,0,0
12140,6.441,124975,0,3,6,0,2200,0,0,0,1
10643,6.82,110000,1,2,10,1,11000,0,0,1,0
10640.5,5.827,107900,0,3,6,0,2200,0,0,0,1
15146.5,7.597,154635,0,5,7,1,1650,0,0,1,0
9183,6.002,95275,1,4,7,1,1300,0,0,1,0
12083.5,5.35,122880,0,1,6,1,2000,0,0,1,0
3235,4.947,36925,1,3,6,0,2200,0,0,0,1
13602.5,6.712,138635,1,1,8,0,850,0,1,0,0
189.5,3.463,6620,1,3,8,1,1100,0,1,0,0
13729.5,8.297,140610,1,2,9,1,400,0,1,0,0
7600,5.072,78760,0,1,8,0,850,1,0,0,0
13655.5,7.952,138950,1,1,6,0,2000,0,0,0,1
3197,5.193,36905,0,2,10,0,11000,0,0,0,1
9150.5,5.339,94955,0,4,8,1,800,0,1,0,0
1649,4.244,20550,1,2,6,0,2700,0,0,0,1
1669,3.582,18800,0,2,9,1,400,1,0,0,0
4688,4.998,50035,1,5,10,0,11400,0,0,0,1
1667,4.132,20160,0,4,9,1,260,1,0,0,0
3120.5,3.348,34110,1,3,8,0,1100,0,1,0,0
10599.5,6.144,109315,0,3,6,1,2200,0,0,1,0
12138.5,6.272,124755,1,3,6,1,2200,0,0,1,0
12176.5,6.988,125425,1,3,10,1,12000,0,0,1,0
1629,3.835,19530,0,3,10,0,12000,0,0,0,1
12183,7.188,125560,1,5,9,1,450,0,1,0,0
13721.5,8.709,141310,1,3,6,1,2200,0,0,1,0
9168,7.1,96500,0,1,6,0,2000,0,0,0,1
6098.5,4.207,63505,0,1,10,1,11350,0,0,1,0
15068.5,6.421,153300,1,3,10,1,12000,0,0,1,0
12146.5,6.665,124545,0,4,9,1,260,0,1,0,0
13675,8.05,140745,1,3,7,0,1100,0,1,0,0
6218.5,5.015,65220,1,3,10,1,12000,0,0,1,0
13634.5,7.601,139695,1,2,7,0,1200,0,1,0,0
3173,3.902,35360,1,1,6,0,2000,0,0,0,1
7727.5,6.245,81200,1,4,9,1,260,0,1,0,0
4654.5,4.663,49830,1,2,9,1,400,0,1,0,0
10618.5,6.644,109850,0,3,10,1,12000,0,0,1,0
3116,3.234,33835,1,2,10,1,11000,0,0,1,0
15096,6.651,153490,0,3,9,0,550,0,1,0,0
12145,6.536,123525,1,1,8,0,850,0,1,0,0
4629.5,4.602,49180,0,2,9,1,400,1,0,0,0
13659,8.037,141100,0,5,8,0,650,0,1,0,0
10649.5,6.374,109235,1,4,10,1,12000,0,0,1,0
15092,6.56,153385,1,1,10,0,11350,0,0,0,1
13717.5,8.794,140825,1,5,8,0,650,0,1,0,0
9216.5,6.711,97125,1,2,6,1,2700,0,0,1,0
4704.5,4.829,50175,1,4,9,1,260,0,1,0,0
1725.5,4.836,20780,0,4,10,1,12000,0,0,1,0
1695.5,4.914,21265,0,2,8,0,900,1,0,0,0
3173.5,3.528,33975,0,5,7,1,1650,0,0,1,0
1639,3.447,18255,0,2,9,0,400,1,0,0,0
9176.5,6.093,95830,1,1,7,0,1650,0,0,0,1
3212.5,5.289,36580,0,2,6,0,2700,0,0,0,1
3161.5,4.042,34350,0,2,7,1,1200,1,0,0,0
4681,5.113,49790,0,4,9,0,260,1,0,0,0
15160.5,8.381,156515,0,4,10,1,12000,0,0,1,0
9120,4.944,93675,0,3,8,0,1100,0,1,0,0
7592.5,5.322,78550,0,3,10,0,12000,0,0,0,1
4714.5,6.309,51470,0,3,10,0,12000,0,0,0,1
9125,5.343,94640,0,1,8,0,850,0,1,0,0
13725,9.443,141845,1,3,9,0,550,0,1,0,0
7696.5,5.968,80100,1,4,7,0,1300,0,0,0,1
7680.5,5.164,79455,0,4,6,1,2500,0,0,1,0
13629.5,7.249,139085,1,1,7,0,1650,0,0,0,1
13622.5,7.182,139570,0,2,10,1,11000,0,0,1,0
15171,7.584,154290,1,5,6,1,2200,0,0,1,0
3149,3.409,35205,1,3,6,1,2200,0,0,1,0
10586.5,5.566,108140,0,4,8,0,800,0,1,0,0
10706.5,8.175,110935,1,1,6,0,2000,0,0,0,1
12138.5,6.847,124570,0,4,6,1,2500,0,0,1,0
7607.5,5.126,78425,0,4,8,0,800,1,0,0,0
15119.5,6.776,154270,1,5,6,1,2200,0,0,1,0
9175,5.627,94050,0,1,10,1,11350,0,0,1,0
15189.5,7.996,154555,0,2,9,1,400,0,1,0,0
10617,6.265,109750,1,3,7,1,1100,0,1,0,0
7626,5.18,80450,1,1,10,0,11350,0,0,0,1
15138,7.726,154490,0,4,10,0,12000,0,0,0,1
6141,4.227,64105,0,2,8,0,900,1,0,0,0
3180.5,4.004,34935,1,3,7,0,1100,0,1,0,0
4686.5,5.021,50500,1,4,6,1,2500,0,0,1,0
13710.5,8.307,141025,1,1,7,0,1650,0,0,0,1
10738.5,7.904,112385,1,3,10,0,12000,0,0,0,1
4673.5,4.39,48580,1,2,10,1,11000,0,0,1,0
4703.5,5.163,51410,1,5,7,0,1650,0,0,0,1
10698.5,6.57,109875,1,3,7,1,1100,0,1,0,0
111.5,2.003,3465,0,4,9,1,260,1,0,0,0
181.5,2.578,3905,0,3,9,0,550,1,0,0,0
9160.5,6.076,95915,1,5,7,0,1650,0,0,0,1
12135,6.303,124100,0,5,6,1,2200,0,0,1,0
7671.5,6.218,79955,0,4,8,0,800,0,1,0,0
10690.5,6.992,110310,0,5,8,1,650,0,1,0,0
15089,6.942,153790,0,4,9,1,260,0,1,0,0
6219.5,5.376,66160,0,3,10,0,12000,0,0,0,1
4687,5.988,51750,1,1,10,0,11350,0,0,0,1
1701.5,4.704,21190,1,1,6,0,2000,0,0,0,1
6134.5,4.2,63960,1,2,6,1,2700,0,0,1,0
3172,3.379,34615,0,3,6,1,2200,0,0,1,0
10697.5,7.198,111020,1,1,8,1,850,0,1,0,0
9162,5.174,94255,0,4,9,0,260,0,1,0,0
10650,6.867,111355,1,5,9,1,450,0,1,0,0
9214,6.634,95895,1,2,10,1,11000,0,0,1,0
10635,6.32,108500,1,5,10,1,11400,0,0,1,0
3176,4.497,35925,1,1,7,1,1650,0,0,1,0
10641,6.198,109575,1,2,7,1,1200,0,1,0,0
13685,7.601,139520,0,4,8,0,800,0,1,0,0
10680.5,7.161,110485,1,5,7,0,1650,0,0,0,1
10741,8.256,112350,0,2,7,0,1200,0,1,0,0
3159.5,3.731,34600,0,2,9,1,400,1,0,0,0
13718,8.642,141120,1,3,10,1,12000,0,0,1,0
9137,6.032,95610,0,4,8,0,800,0,1,0,0
174,4.051,6690,0,4,8,0,800,1,0,0,0
12177.5,7.334,125340,0,2,8,0,900,0,1,0,0
1625.5,3.598,19395,0,3,8,0,1100,1,0,0,0
9159.5,5.836,93985,0,2,7,1,1200,0,1,0,0
9107,5.681,94270,0,5,7,0,1650,0,0,0,1
15207.5,8.756,156010,1,1,9,1,650,0,1,0,0
3166.5,3.967,35230,0,4,7,1,1300,0,0,1,0
13671.5,7.895,139490,0,2,9,0,400,0,1,0,0
121.5,2.757,4560,0,3,7,0,1100,1,0,0,0
15165.5,8.328,153975,0,5,6,1,2200,0,0,1,0
9084.5,4.643,93540,0,2,9,1,400,0,1,0,0
12082,5.154,123065,0,2,7,1,1200,0,1,0,0
9242,6.867,96625,1,4,10,0,12000,0,0,0,1
159,3.456,5950,1,4,9,1,260,0,1,0,0
6228,6.276,67025,1,5,10,0,11400,0,0,0,1
15079.5,6.411,152725,0,1,10,1,11350,0,0,1,0
9176,6.451,95820,0,5,10,1,11400,0,0,1,0
13708,8.939,141635,1,1,7,0,1650,0,0,0,1
10636,6.955,110075,1,4,7,1,1300,0,0,1,0
3157,4.108,35115,0,1,8,1,850,1,0,0,0
9087.5,4.846,93265,0,5,10,0,11400,0,0,0,1
3163,3.457,33755,0,4,9,1,260,1,0,0,0
3172,4.349,35050,0,3,6,1,2200,0,0,1,0
9111,4.802,93940,0,4,6,1,2500,0,0,1,0
1623,3.25,19935,0,5,7,1,1650,0,0,1,0
15134.5,7.253,153270,1,2,7,1,1200,0,1,0,0
9143.5,5.258,94765,1,1,9,0,650,0,1,0,0
7631,5.457,80875,1,4,6,1,2500,0,0,1,0
3188,3.953,35800,0,4,9,0,260,1,0,0,0
12160.5,6.32,123615,0,5,7,1,1650,0,0,1,0
12086.5,5.684,123305,0,4,9,1,260,0,1,0,0
1674,3.602,19035,0,4,8,0,800,1,0,0,0
3125.5,2.977,33425,0,4,6,0,2500,0,0,0,1
12168.5,6.431,125350,1,4,9,0,260,0,1,0,0
9096.5,4.508,94025,0,2,8,0,900,0,1,0,0
3207.5,3.876,34500,1,5,6,0,2200,0,0,0,1
1782,6.238,23200,1,3,9,0,550,0,1,0,0
13663,7.773,140525,1,4,7,0,1300,0,0,0,1
1716.5,5.69,22690,0,4,8,1,800,1,0,0,0
10648,6.465,109335,0,1,10,1,11350,0,0,1,0
10597,5.816,108175,1,4,10,0,12000,0,0,0,1
10698,7.52,110360,0,1,6,1,2000,0,0,1,0
1690.5,4.223,22010,1,2,7,0,1200,0,1,0,0
12120,5.705,122920,0,2,9,1,400,0,1,0,0
6147.5,5.008,65155,0,3,10,0,12000,0,0,0,1
12150,7.094,124425,0,5,8,0,650,0,1,0,0
1655.5,4.227,20475,0,4,9,0,260,1,0,0,0
199.5,3.605,6035,1,5,8,0,650,0,1,0,0
9165,6.407,95495,1,5,6,0,2200,0,0,0,1
6174.5,5.511,65885,1,5,6,0,2200,0,0,0,1
3103,3.065,33380,0,4,7,0,1300,0,0,0,1
10687.5,6.989,110150,0,3,6,0,2200,0,0,0,1
7666,5.768,80935,1,2,7,1,1200,0,1,0,0
6149.5,5.035,64760,1,4,10,0,12000,0,0,0,1
4672.5,4.991,50675,1,5,6,1,2200,0,0,1,0
10690.5,7.225,110200,0,2,9,1,400,0,1,0,0
225,4.014,6500,1,2,10,1,11000,0,0,1,0
15141.5,7.594,154860,0,1,10,0,11350,0,0,0,1
9135.5,5.292,94310,0,3,10,1,12000,0,0,1,0
3133.5,3.034,34055,0,1,9,0,650,1,0,0,0
9136,5.502,93485,0,2,9,0,400,0,1,0,0
1718.5,4.899,22975,1,4,6,0,2500,0,0,0,1
10717,7.736,111325,0,5,7,0,1650,0,0,0,1
4670,4.41,49320,1,5,7,1,1650,0,0,1,0
4704,5.721,51755,0,5,10,1,11400,0,0,1,0
180,3.271,4990,0,3,10,0,12000,0,0,0,1
10658,7.172,110700,1,5,9,0,450,0,1,0,0
15091.5,6.993,153615,1,3,8,0,1100,0,1,0,0
4590,3.808,48305,0,2,6,1,2700,0,0,1,0
13647,7.094,138940,0,4,8,1,800,0,1,0,0
12132.5,6.221,124940,0,3,9,1,550,0,1,0,0
9101,4.508,93390,0,5,6,0,2200,0,0,0,1
6132.5,4.721,64215,0,4,8,1,800,1,0,0,0
15214,8.534,155765,1,5,7,1,1650,0,0,1,0
6156,4.782,65235,1,1,10,1,11350,0,0,1,0
3191.5,4.379,35495,1,5,6,1,2200,0,0,1,0
9099,4.927,93640,0,2,8,0,900,0,1,0,0
3205,4.501,36030,0,4,6,1,2500,0,0,1,0
6161.5,4.947,65710,0,2,10,1,11000,0,0,1,0
13684,8.544,140715,1,4,8,0,800,0,1,0,0
13621,7.185,138385,0,2,8,1,900,0,1,0,0
1673,4.146,19635,1,5,8,0,650,0,1,0,0
13635.5,7.337,139375,1,2,6,0,2700,0,0,0,1
12169.5,7.168,125440,0,1,8,0,850,0,1,0,0
12148.5,6.911,125785,1,2,10,0,11000,0,0,0,1
10607.5,5.802,109125,0,3,6,1,2200,0,0,1,0
7696.5,6.32,80895,1,2,10,0,11000,0,0,0,1
12112,6.181,123745,1,3,7,1,1100,0,1,0,0
166,3.767,5750,0,4,9,1,260,1,0,0,0
4723.5,5.836,51905,0,4,10,0,12000,0,0,0,1
1649.5,3.642,19990,1,4,6,1,2500,0,0,1,0
13700,8.696,140525,0,1,7,1,1650,0,0,1,0
13654,7.84,140045,1,1,9,0,650,0,1,0,0
4695,4.68,50555,0,2,9,0,400,1,0,0,0
235.5,4.312,7305,1,4,10,0,12000,0,0,0,1
12152.5,6.593,124485,1,1,8,0,850,0,1,0,0
1667.5,4.119,21250,1,1,6,1,2000,0,0,1,0
10602,5.475,107825,1,2,8,0,900,0,1,0,0
12202,7.759,126870,1,2,7,0,1200,0,1,0,0
15197,8.212,155795,0,4,9,1,260,0,1,0,0
7714,7.432,81035,0,3,10,0,12000,0,0,0,1
3158.5,4.071,35440,0,4,10,0,12000,0,0,0,1
4717.5,6.346,52375,1,1,7,0,1650,0,0,0,1
12163.5,7.016,124310,1,5,8,0,650,0,1,0,0
1750.5,4.846,21595,1,5,9,1,450,0,1,0,0
1731,4.578,21675,0,5,10,0,11400,0,0,0,1
1629.5,3.679,19925,0,5,9,0,450,1,0,0,0
1695.5,4.879,21830,1,3,8,0,1100,0,1,0,0
15218,8.902,156150,0,5,7,1,1650,0,0,1,0
279,4.217,7760,1,2,8,0,900,0,1,0,0
171.5,2.953,5135,0,2,9,0,400,1,0,0,0
1772.5,5.015,22420,1,4,6,1,2500,0,0,1,0
15124,6.668,154030,0,1,6,1,2000,0,0,1,0
7595,5.245,79020,0,4,6,1,2500,0,0,1,0
6173.5,5.052,65950,1,1,10,0,11350,0,0,0,1
7624.5,5.67,79910,1,1,9,1,650,0,1,0,0
10692.5,6.908,109850,1,2,8,0,900,0,1,0,0
10654,7.117,111370,0,1,9,0,650,0,1,0,0
3106,2.956,33360,1,4,10,0,12000,0,0,0,1
13628.5,7.337,138780,0,4,10,0,12000,0,0,0,1
4608.5,3.987,49230,0,2,6,1,2700,0,0,1,0
13746,9.129,142365,1,1,8,0,850,0,1,0,0
6116.5,4.173,63995,0,2,9,1,400,1,0,0,0
3196.5,4.122,35465,1,4,8,0,800,0,1,0,0
9182,6.549,95075,1,1,6,1,2000,0,0,1,0
10689,7.597,111845,1,1,9,0,650,0,1,0,0
9126,5.099,94060,0,4,8,1,800,0,1,0,0
9223.5,6.245,96070,1,5,9,0,450,0,1,0,0
7673,5.826,79580,0,4,8,1,800,0,1,0,0
93,2.49,3880,0,4,10,0,12000,0,0,0,1
3191,4.737,37040,0,2,10,0,11000,0,0,0,1
96,2.013,4340,0,2,6,0,2700,0,0,0,1
12132,5.779,123735,0,2,7,1,1200,0,1,0,0
10645.5,6.229,108505,0,3,8,0,1100,0,1,0,0
13694.5,8.81,142000,1,3,7,0,1100,0,1,0,0
1673.5,3.673,20050,0,5,9,1,450,1,0,0,0
3118.5,3.247,33530,0,3,7,0,1100,1,0,0,0
3096.5,2.703,32970,0,3,9,1,550,1,0,0,0
1703,4.636,21135,1,1,7,0,1650,0,0,0,1
6191.5,4.88,65190,0,4,7,1,1300,0,0,1,0
162.5,2.865,5175,1,2,10,0,11000,0,0,0,1
192.5,3.017,5305,1,5,9,0,450,0,1,0,0
3117,2.875,33960,0,5,8,0,650,1,0,0,0
164.5,3.068,4965,1,4,6,0,2500,0,0,0,1
4648.5,4.251,49470,1,5,8,1,650,0,1,0,0
10720,7.611,111265,0,5,10,1,11400,0,0,1,0
3213,4.423,35955,1,3,7,0,1100,0,1,0,0
7626,4.738,78545,1,5,6,0,2200,0,0,0,1
3202.5,3.73,35495,1,1,9,0,650,0,1,0,0
138.5,3.25,3875,0,1,8,1,850,1,0,0,0
6169,5.363,65150,1,4,7,0,1300,0,0,0,1
4642.5,4.606,49300,0,5,9,0,450,1,0,0,0
9174.5,5.812,95600,1,1,8,1,850,0,1,0,0
6188,4.846,64350,1,4,6,0,2500,0,0,0,1
12169.5,6.901,125150,0,2,9,1,400,0,1,0,0
13721,8.564,141450,1,3,10,0,12000,0,0,0,1
10630.5,6.265,109630,0,4,8,1,800,0,1,0,0
15154,7.094,153685,0,1,6,1,2000,0,0,1,0
7702,5.962,80140,0,5,8,0,650,0,1,0,0
4730.5,5.761,51555,1,3,6,1,2200,0,0,1,0
7699,6.485,81780,1,5,9,1,450,0,1,0,0
3129,3.517,34300,0,3,10,0,12000,0,0,0,1
1614,2.828,18805,1,1,8,1,850,0,1,0,0
1628.5,3.355,19435,1,5,8,0,650,0,1,0,0
12095,6.033,123580,0,5,7,0,1650,0,0,0,1
15121.5,6.867,154980,0,3,10,1,12000,0,0,1,0
13730,8.473,141455,1,5,6,0,2200,0,0,0,1
10684,7.211,110725,1,5,8,0,650,0,1,0,0
136,2.946,4725,1,3,7,0,1100,0,1,0,0
13634,7.479,139880,0,1,6,1,2000,0,0,1,0
13642,7.898,140945,1,2,7,1,1200,0,1,0,0
7692,6.104,79540,0,2,6,0,2700,0,0,0,1
1607,2.913,17265,0,2,10,0,11000,0,0,0,1
10680.5,7.134,110160,1,5,10,1,11400,0,0,1,0
158,2.953,4140,1,5,7,1,1650,0,0,1,0
1649,4.092,19495,0,2,6,1,2700,0,0,1,0
15164,7.672,153670,0,2,6,1,2700,0,0,1,0
12072.5,4.951,122620,0,4,8,1,800,0,1,0,0
1635,3.622,20830,0,4,9,1,260,1,0,0,0
10679,6.374,109430,0,5,6,1,2200,0,0,1,0
10688.5,6.921,110400,1,4,10,0,12000,0,0,0,1
15121,7.567,155070,0,1,9,0,650,0,1,0,0
6147,4.275,64230,0,3,7,1,1100,1,0,0,0
7693,5.877,79890,0,3,7,0,1100,0,1,0,0
4751.5,6.052,52310,1,3,8,0,1100,0,1,0,0
12137.5,6.532,125555,1,4,10,1,12000,0,0,1,0
9201.5,6.867,95705,0,3,9,1,550,0,1,0,0
1675,3.734,19375,1,2,6,0,2700,0,0,0,1
9188,5.529,94410,1,2,10,0,11000,0,0,0,1
6176,5.261,65810,1,4,10,0,12000,0,0,0,1
3231,5.251,37255,1,2,8,1,900,0,1,0,0
10696.5,7.834,110745,0,4,10,0,12000,0,0,0,1
9246.5,7.421,97160,1,2,6,0,2700,0,0,0,1
10639.5,7.025,110725,1,1,6,1,2000,0,0,1,0
15190.5,7.655,154875,1,5,8,1,650,0,1,0,0
168.5,3.409,5185,1,2,9,1,400,0,1,0,0
13632.5,7.442,139475,0,1,6,1,2000,0,0,1,0
10676,7.046,110055,1,1,6,0,2000,0,0,0,1
12179,7.547,125810,1,5,6,1,2200,0,0,1,0
9173.5,6.56,94860,0,1,7,1,1650,0,0,1,0
7654,6.316,79720,1,5,7,0,1650,0,0,0,1
13673,8.05,140700,0,1,8,0,850,0,1,0,0
10699.5,7.023,110170,0,5,6,1,2200,0,0,1,0
9187.5,6.667,96150,0,5,10,0,11400,0,0,0,1
6188,5.849,66625,0,4,10,1,12000,0,0,1,0
13629.5,7.337,139215,1,1,10,1,11350,0,0,1,0
147.5,2.598,4615,0,5,6,1,2200,0,0,1,0
